Date,Open,High,Low,Close,Volume
"Tuesday, July 5, 2011",49,49.98,48.93,49.92,12688374
"Wednesday, July 6, 2011",49.86,50.59,49.53,50.25,15879463
"Thursday, July 7, 2011",50.67,51.14,50.57,51.03,14273617
"Friday, July 8, 2011",50.5,51.43,50.31,51.39,17497376
"Monday, July 11, 2011",50.9,51.4,50.4,50.57,15816282
"Tuesday, July 12, 2011",50.5,51.1,49.8,50.54,16128813
"Wednesday, July 13, 2011",51.19,51.43,50.91,51.15,13987074
"Thursday, July 14, 2011",51.56,51.66,50.91,51.11,15376165
"Friday, July 15, 2011",51.57,52.14,51.31,52.13,17302334
"Monday, July 18, 2011",52.2,53.52,52.18,53.4,20451088
"Tuesday, July 19, 2011",53.99,54.09,53.33,53.84,29255192
"Wednesday, July 20, 2011",56.58,56.61,55.14,55.27,33618816
"Thursday, July 21, 2011",55.29,55.72,54.84,55.33,18804148
"Friday, July 22, 2011",55.47,56.44,55.39,56.19,18454556
"Monday, July 25, 2011",55.74,57.14,55.66,56.93,21064442
"Tuesday, July 26, 2011",57.14,57.79,57.1,57.63,17020718
"Wednesday, July 27, 2011",57.19,57.52,56.02,56.08,23547210
"Thursday, July 28, 2011",55.95,56.71,55.45,55.97,21215156
"Friday, July 29, 2011",55.36,56.45,54.86,55.78,22592270
"Monday, August 1, 2011",56.86,57.07,56.05,56.68,21886852
"Tuesday, August 2, 2011",56.83,56.84,55.48,55.56,22840680
"Wednesday, August 3, 2011",55.87,56.22,54.61,56.08,26160828
"Thursday, August 4, 2011",55.65,55.9,53.91,53.91,31121632
"Friday, August 5, 2011",54.27,54.79,51.8,53.37,43020048
"Monday, August 8, 2011",51.57,52.54,50.43,50.46,40850172
"Tuesday, August 9, 2011",51.68,53.52,50.71,53.43,38663672
"Wednesday, August 10, 2011",53.02,53.52,51.79,51.96,31380328
"Thursday, August 11, 2011",52.93,53.64,52.1,53.39,26498730
"Friday, August 12, 2011",54.01,54.23,53.46,53.86,18396914
"Monday, August 15, 2011",54.27,55,54.01,54.77,16447924
"Tuesday, August 16, 2011",54.5,54.77,53.72,54.35,17817446
"Wednesday, August 17, 2011",54.62,54.93,54,54.35,15672817
